time	Satellite	SVclockBias	SVclockDrift	SVclockDriftRate	IODE	Crs	DeltaN	M0	Cuc	Eccentricity	Cus	sqrtA	Toe	Cic	Omega0	Cis	Io	Crc	omega	OmegaDot	IDOT	CodesL2	GPSWeek	L2Pflag	SVacc	health	TGD	IODC	TransTime	FitIntvl
2021-03-19 23:00:00	QZSS01	-0.0003565666265786	-3.4106051316480007e-12	0.0	121.0	-58.6875	1.202907248772e-09	-1.884327504661	-2.194195985794e-06	0.07490825699642	4.353001713753e-06	6492.988248825	514800.0	5.215406417847e-07	-0.5586519409986	-3.73087823391e-06	0.7311275160643	12.40625	-1.571768127183	-7.336019860388e-10	8.707505559701e-10	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	889.0	511206.0	0.0
2021-03-20 00:00:00	QZSS01	-0.0003565791994333	-3.5242919693700004e-12	0.0	125.0	-39.75	1.21719355814e-09	-1.621784576557	-1.596286892891e-06	0.07490913476795	4.969537258148e-06	6492.983013153	518400.0	2.836808562279e-06	-0.5586545552332	-2.043321728706e-06	0.7311290887012	-3.625	-1.571740459013	-7.239587272155e-10	4.621621080497e-10	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	893.0	514806.0	0.0
2021-03-19 00:00:00	QZSS02	3.627967089415e-06	6.821210263296999e-13	0.0	29.0	656.75	7.914615389785e-10	2.378820090925	1.990050077438e-05	0.0746594312368	4.91552054882e-06	6493.62736702	432000.0	-3.986060619354e-06	1.724574884243	1.266598701477e-06	0.74177179871	-27.03125	-1.566794100383	-9.650401977978e-10	-1.171477368163e-09	2.0	2149.0	0.0	2.8	0.0	9.313225746155e-10	797.0	431976.0	0.0
2021-03-19 01:00:00	QZSS02	3.631226718426e-06	6.821210263296999e-13	0.0	33.0	782.65625	1.194692620886e-09	2.641221379301	2.327375113964e-05	0.07464798330329	6.524845957756e-06	6493.657266617	435600.0	-2.387911081314e-06	1.724558300604	-1.091510057449e-06	0.7417663478772	-99.71875	-1.566695669403	-1.841148119781e-09	-8.007476400676e-10	2.0	2149.0	0.0	2.8	0.0	9.313225746155e-10	801.0	432006.0	0.0
2021-03-19 02:00:00	QZSS02	3.634486347437e-06	6.821210263296999e-13	0.0	37.0	825.875	1.543278569461e-09	2.903681351172	2.468004822731e-05	0.07464144716505	8.251518011093e-06	6493.672887802	439200.0	-7.82310962677e-08	1.724538224979	-6.426125764847e-07	0.7417635595553	-158.09375	-1.566657746178	-2.39688555419e-09	-1.135761594744e-10	2.0	2149.0	0.0	2.8	0.0	9.313225746155e-10	805.0	435606.0	0.0
2021-03-19 03:00:00	QZSS02	3.637280315161e-06	6.821210263296999e-13	0.0	41.0	821.6875	1.77471678122e-09	-3.11701285324	2.469308674335e-05	0.07464484020602	7.776543498039e-06	6493.665880203	442800.0	2.644956111908e-07	1.72452734672	-3.445893526077e-07	0.7417635493149	-112.5	-1.566658669279	-2.462602577282e-09	1.85722021782e-11	2.0	2149.0	0.0	2.8	0.0	9.313225746155e-10	809.0	439206.0	0.0
2021-03-19 04:00:00	QZSS02	3.639608621597e-06	6.821210263296999e-13	0.0	45.0	858.5625	2.087229798642e-09	-2.854541630065	2.549961209297e-05	0.07465576962568	5.003064870834e-06	6493.642364502	446400.0	6.891787052155e-08	1.724515808685	1.173466444016e-07	0.7417641359451	20.0	-1.566636134489	-2.424029541989e-09	1.971510692762e-10	2.0	2149.0	0.0	2.8	0.0	9.313225746155e-10	813.0	442806.0	0.0
2021-03-19 05:00:00	QZSS02	3.641936928034e-06	6.821210263296999e-13	0.0	49.0	943.53125	1.978653847446e-09	-2.592098892832	2.762675285339e-05	0.07466682570521	2.609565854073e-06	6493.616470337	450000.0	-1.922249794006e-06	1.7244970965	3.557652235031e-07	0.7417674289737	125.03125	-1.566574911367	-1.915436928494e-09	7.950331163205e-10	2.0	2149.0	0.0	2.8	0.0	9.313225746155e-10	817.0	446406.0	0.0
2021-03-19 06:00:00	QZSS02	3.64426523447e-06	6.821210263296999e-13	0.0	53.0	973.1875	1.504348376434e-09	-2.329625495761	2.87052243948e-05	0.07467012538109	2.27615237236e-06	6493.607629776	453600.0	-2.700835466385e-06	1.724483391884	-1.596286892891e-06	0.7417722361225	141.21875	-1.566545247778	-1.26826711413e-09	1.008256283636e-09	2.0	2149.0	0.0	2.8	0.0	9.313225746155e-10	821.0	450006.0	0.0
2021-03-19 07:00:00	QZSS02	3.647059202194e-06	6.821210263296999e-13	0.0	57.0	873.15625	1.812932658779e-09	-2.067039532996	2.686120569706e-05	0.07466388249304	1.739710569382e-06	6493.628883362	457200.0	-5.215406417847e-08	1.724486907276	-8.735805749893e-07	0.7417679790309	152.125	-1.566644342922	-2.055442760298e-09	2.93226499775e-10	2.0	2149.0	0.0	2.8	0.0	9.313225746155e-10	825.0	453606.0	0.0
