GPS,Epoch Time,x,y,z
GPS10,2009-06-30 18:00:00,-5461129.139533233,-25073247.220793176,-6270359.107871239
GPS10,2009-06-30 20:00:00,-12661074.804957982,-22840561.94277713,3560823.974197787
GPS10,2009-06-30 22:00:00,-12965060.155310977,9021528.724874873,21204590.99645974
GPS11,2009-06-30,23662586.32077478,8028348.504341411,-8767944.751621874
GPS11,2009-06-30 02:00:00,-25649032.26697668,7136338.387502251,-2868691.3945753486
GPS11,2009-06-30 04:00:00,-22152861.19967126,-8200349.249250641,12216120.794229
GPS11,2009-06-30 06:00:00,17415817.469560705,-17945793.710886452,8203265.283617526
GPS11,2009-06-30 08:00:00,-13263612.408937743,-10822424.20210829,20173793.246069383
GPS11,2009-06-30 10:00:00,24568436.601387296,-9529037.87017513,-1145019.3590973318
GPS11,2009-06-30 11:59:44,-25509501.15864111,-1705616.2053329858,7615817.314888257
GPS11,2009-06-30 12:00:00,25259967.572885472,-6983469.748646812,2717552.5392539576
GPS11,2009-06-30 13:59:44,-23730882.621777456,-4933578.862703566,11003102.326804927
GPS11,2009-06-30 16:00:00,22758888.918837517,-12356421.321949352,4772102.7447564835
GPS11,2009-06-30 18:00:00,7943560.5115299225,16526263.427685492,-19455263.425061524
GPS11,2009-06-30 20:00:00,-7107826.538221446,-17920514.915613953,17985660.76680238
GPS11,2009-06-30 22:00:00,9062778.601439303,-22666168.816734456,9814424.21055342
GPS12,2009-06-30,2127271.893142395,19156673.84307748,-18149323.884285744
GPS12,2009-06-30 02:00:00,16623338.52645681,14134669.466087919,15102826.058382383
GPS12,2009-06-30 04:00:00,-2066509.3822411962,12779208.288931832,-23107957.651961908
GPS12,2009-06-30 06:00:00,13019196.782897081,21243377.50649685,-8957695.186224943
GPS12,2009-06-30 08:00:00,-10757589.164929135,-20087071.4191348,13814198.839465652
GPS12,2009-06-30 10:00:00,14332198.264039408,20852449.04893173,-7800812.066092364
GPS12,2009-06-30 11:59:44,-19387271.41182127,-14886808.414404683,-10485060.185572198
GPS12,2009-06-30 12:00:00,6225017.754724769,20426053.15709105,-15648333.946333332
GPS12,2009-06-30 13:59:44,14461080.853635743,21839847.889441766,-3906408.002009248
GPS12,2009-06-30 16:00:00,-13598205.028679084,-21721465.576749317,7284780.0957615785
GPS12,2009-06-30 18:00:00,-17546702.45785744,-19979347.072769865,1480039.2321772762
GPS12,2009-06-30 20:00:00,-5545776.306616858,11981804.59442795,-22970303.278583426
GPS12,2009-06-30 22:00:00,15379636.0677849,8457626.06200778,19936794.120723195
GPS13,2009-06-30,24077550.698867165,-9119175.685055567,6370800.000049829
